# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous)	moments(pressure viscous)
0             	((1.026971e+03 -6.950796e+06 -4.325215e-12) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.475398e+06 -5.134857e+02 -7.673480e+04) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-5.550705e+02 3.696750e+05 2.935648e-13) (-1.949707e-04 -1.182262e-03 1.956830e-17)) ((1.848375e+05 2.775353e+02 4.166170e+04) (-5.911308e-04 9.748533e-05 1.512104e-02))
0.02          	((-1.955334e+02 3.954032e+05 3.144878e-13) (3.350205e-06 3.417831e-04 -1.553480e-17)) ((1.977016e+05 9.776672e+01 1.470029e+04) (1.708915e-04 -1.675103e-06 -5.774871e-04))
0.03          	((1.371400e+03 3.868000e+05 3.079429e-13) (-1.244144e-05 -7.454699e-04 2.803048e-17)) ((1.934000e+05 -6.856999e+02 -1.028221e+05) (-3.727350e-04 6.220720e-06 1.290047e-03))
0.04          	((-8.730416e+02 3.907906e+05 3.106259e-13) (-9.922191e-06 3.530864e-04 -2.803043e-17)) ((1.953953e+05 4.365208e+02 6.551266e+04) (1.765432e-04 4.961096e-06 5.435993e-04))
0.05          	((2.277732e+02 3.894674e+05 3.098380e-13) (-4.633517e-06 -3.636153e-04 1.553496e-17)) ((1.947337e+05 -1.138866e+02 -1.704953e+04) (-1.818077e-04 2.316758e-06 6.465900e-04))
0.06          	((-2.847756e+02 3.902491e+05 3.102635e-13) (7.280261e-06 4.240553e-04 -1.956788e-17)) ((1.951246e+05 1.423878e+02 2.139207e+04) (2.120277e-04 -3.640130e-06 -6.350835e-04))
0.07          	((1.921388e+02 3.886169e+05 3.089307e-13) (-7.457745e-06 -4.003598e-05 9.164054e-23)) ((1.943085e+05 -9.606938e+01 -1.437682e+04) (-2.001799e-05 3.728873e-06 7.216373e-04))
0.08          	((-2.340275e+02 3.839865e+05 3.054012e-13) (8.487066e-06 4.483814e-04 3.206382e-17)) ((1.919932e+05 1.170138e+02 1.758538e+04) (2.241907e-04 -4.243533e-06 -6.680406e-04))
0.09          	((2.213766e+01 3.847171e+05 3.058358e-13) (-4.021530e-06 1.150217e-04 1.199529e-22)) ((1.923585e+05 -1.106883e+01 -1.627034e+03) (5.751087e-05 2.010765e-06 3.335790e-04))
0.1           	((-2.084745e+02 3.846758e+05 3.058732e-13) (3.931821e-06 4.896921e-04 1.757414e-22)) ((1.923379e+05 1.042372e+02 1.566890e+04) (2.448460e-04 -1.965910e-06 -2.630057e-04))
0.11          	((-2.351342e+00 3.848254e+05 3.059092e-13) (-1.598095e-06 2.177577e-04 -2.803031e-17)) ((1.924127e+05 1.175671e+00 2.097275e+02) (1.088789e-04 7.990477e-07 1.159367e-04))
0.12          	((-1.147812e+01 3.848225e+05 3.059981e-13) (2.659801e-06 5.576559e-04 4.894701e-23)) ((1.924112e+05 5.739058e+00 8.940782e+02) (2.788279e-04 -1.329901e-06 -1.025576e-04))
0.13          	((9.415181e+01 3.852177e+05 3.062282e-13) (-3.594940e-08 3.046427e-04 2.803070e-17)) ((1.926089e+05 -4.707591e+01 -7.027988e+03) (1.523214e-04 1.797470e-08 -6.910815e-05))
0.14          	((-5.503459e+01 3.854435e+05 3.065146e-13) (2.869956e-06 6.500128e-04 -3.206304e-17)) ((1.927218e+05 2.751729e+01 4.160895e+03) (3.250064e-04 -1.434978e-06 -1.201998e-04))
0.15          	((5.859764e+01 3.860721e+05 3.069153e-13) (1.829817e-06 3.963143e-04 3.206339e-17)) ((1.930360e+05 -2.929882e+01 -4.361303e+03) (1.981571e-04 -9.149084e-07 -2.438315e-04))
