# Residuals   
# Time        	p_rgh         	Ux            	Uy            
0             	N/A	N/A
0.01          	6.626901e-07	7.674903e-04	2.233299e-04
0.02          	4.364182e-07	5.053016e-05	1.178633e-05
0.03          	3.772228e-07	5.258092e-05	1.406720e-05
0.04          	3.197139e-07	4.994920e-05	2.505791e-05
0.05          	3.117821e-07	4.437018e-05	4.595286e-05
0.06          	3.319701e-07	3.835421e-05	8.495242e-05
0.07          	3.554577e-07	4.456493e-05	4.267245e-05
0.08          	3.569532e-07	4.916531e-05	1.669138e-05
0.09          	3.595231e-07	3.419490e-05	1.177230e-05
0.1           	3.892494e-07	2.868430e-05	1.741115e-05
0.11          	4.070332e-07	2.105201e-05	2.434052e-05
0.12          	4.443423e-07	1.511092e-05	2.322843e-05
0.13          	4.533748e-07	1.180932e-05	1.828090e-05
0.14          	4.875226e-07	9.515500e-06	1.461143e-05
0.15          	7.380757e-07	1.017934e-05	1.207770e-05
0.16          	7.588767e-07	1.495842e-05	8.934574e-06
0.17          	7.637265e-07	1.657057e-05	7.975942e-06
0.18          	8.253562e-07	1.782704e-05	7.446910e-06
0.19          	8.326014e-07	1.808471e-05	7.904418e-06
0.2           	8.932618e-07	1.616655e-05	8.049399e-06
0.21          	9.084898e-07	1.398754e-05	8.331013e-06
0.22          	7.807942e-07	1.219636e-05	8.085038e-06
0.23          	9.896546e-07	1.160776e-05	8.460226e-06
0.24          	8.408206e-07	1.037646e-05	8.725817e-06
0.25          	9.364470e-07	9.510264e-06	9.257955e-06
0.26          	9.104222e-07	8.921845e-06	9.143061e-06
0.27          	8.440568e-08	2.152681e-03	2.902127e-03
0.28          	7.104416e-07	2.992268e-05	5.011166e-05
0.29          	9.079137e-07	2.302158e-05	3.594370e-05
0.3           	8.658983e-07	1.620222e-05	2.040033e-05
0.31          	9.806839e-07	1.169222e-05	1.379393e-05
0.32          	8.665438e-07	8.957759e-06	8.258221e-06
0.33          	9.784936e-07	7.301472e-06	5.697495e-06
0.34          	8.557559e-07	5.937182e-06	2.740384e-06
0.35          	8.147049e-08	4.172430e-03	5.499374e-03
0.36          	7.586245e-07	3.935556e-05	8.110185e-05
0.37          	9.768138e-08	4.293548e-03	3.366614e-03
0.38          	8.291646e-07	1.974266e-05	1.494674e-05
0.39          	1.104782e-07	4.350286e-03	2.840439e-03
0.4           	8.786463e-08	4.028926e-03	2.049462e-03
0.41          	1.094918e-07	1.000364e-03	5.231559e-04
0.42          	6.793381e-07	2.149546e-04	1.131927e-04
0.43          	1.093745e-07	5.120208e-04	3.648547e-04
0.44          	6.874387e-07	2.083906e-04	2.194814e-04
0.45          	1.134800e-07	3.174571e-04	3.373429e-04
0.46          	7.000233e-07	1.123507e-04	8.047722e-05
0.47          	1.182748e-07	1.880153e-04	2.800648e-04
0.48          	7.244976e-07	6.145335e-05	6.285734e-05
0.49          	1.215048e-07	1.440953e-04	2.473402e-04
0.5           	7.590404e-07	3.022700e-05	3.747814e-05
0.51          	1.239724e-07	1.141498e-04	2.051410e-04
0.52          	7.652547e-07	1.877963e-05	2.364524e-05
0.53          	5.808227e-08	1.145683e-04	1.659515e-04
0.54          	8.032389e-07	1.447599e-05	1.946682e-05
0.55          	6.106048e-08	8.722273e-05	1.510078e-04
0.56          	8.173986e-07	1.046839e-05	1.891019e-05
0.57          	6.553855e-08	7.277951e-05	1.822876e-04
0.58          	8.395901e-07	8.324038e-06	2.082522e-05
0.59          	6.549414e-08	7.072624e-05	1.630539e-04
0.6           	8.510043e-07	7.960524e-06	1.737523e-05
0.61          	6.757728e-08	6.712826e-05	1.493110e-04
0.62          	8.947574e-07	6.999203e-06	1.499708e-05
0.63          	6.932396e-08	5.994404e-05	1.407019e-04
0.64          	9.220338e-07	6.678033e-06	1.411263e-05
0.65          	7.136223e-08	5.589571e-05	1.587404e-04
0.66          	9.275449e-07	6.060607e-06	1.533701e-05
0.67          	7.183131e-08	5.450845e-05	1.654135e-04
0.68          	9.453330e-07	5.491201e-06	1.611492e-05
0.69          	7.211095e-08	5.568623e-05	1.506040e-04
0.7           	9.626616e-07	5.382727e-06	1.472891e-05
0.71          	7.194214e-08	5.368657e-05	1.354947e-04
0.72          	9.747257e-07	5.278749e-06	1.359107e-05
0.73          	7.229172e-08	4.891549e-05	1.235638e-04
0.74          	9.905394e-07	5.013370e-06	1.290813e-05
0.75          	7.289568e-08	4.436829e-05	1.312021e-04
0.76          	6.946783e-08	3.616514e-04	1.057080e-03
0.77          	6.937901e-08	3.617132e-05	1.198379e-04
0.78          	5.110706e-08	4.030735e-05	1.139836e-04
0.79          	7.355983e-08	3.844456e-05	1.202147e-04
0.8           	5.223946e-08	4.050950e-05	1.021539e-04
0.81          	7.347009e-08	3.788974e-05	1.122270e-04
0.82          	1.006401e-07	4.056438e-06	1.107809e-05
0.83          	8.521346e-08	4.360099e-05	1.191311e-04
0.84          	9.633222e-08	4.063091e-06	9.768850e-06
0.85          	1.157595e-07	6.922465e-06	1.509892e-05
0.86          	1.223672e-07	5.485549e-06	1.145539e-05
0.87          	1.154141e-07	7.465576e-06	1.522916e-05
0.88          	1.203227e-07	5.604404e-06	1.132898e-05
0.89          	1.138356e-07	7.208243e-06	1.520367e-05
0.9           	1.208641e-07	5.426626e-06	1.148884e-05
0.91          	1.166404e-07	7.090005e-06	1.529463e-05
0.92          	1.231967e-07	5.139957e-06	1.138608e-05
0.93          	1.176648e-07	6.910109e-06	1.494793e-05
0.94          	1.239559e-07	4.925352e-06	1.092138e-05
0.95          	1.167847e-07	7.141621e-06	1.472884e-05
0.96          	1.231675e-07	5.286498e-06	1.094833e-05
0.97          	1.171503e-07	6.499736e-06	1.461997e-05
0.98          	1.234872e-07	5.204623e-06	1.120498e-05
0.99          	1.142024e-07	6.811770e-06	1.483392e-05
1             	1.237793e-07	4.691398e-06	1.114655e-05
1.01          	1.132025e-07	6.279575e-06	1.485337e-05
1.02          	1.235721e-07	4.610013e-06	1.123018e-05
1.03          	1.150133e-07	6.371088e-06	1.473654e-05
1.04          	1.240511e-07	4.541733e-06	1.110641e-05
1.05          	1.190095e-07	6.250479e-06	1.465463e-05
1.06          	1.244034e-07	4.532728e-06	1.103586e-05
1.07          	1.199450e-07	6.190395e-06	1.443938e-05
1.08          	1.249387e-07	4.508923e-06	1.114628e-05
1.09          	1.209153e-07	6.344697e-06	1.493501e-05
1.1           	1.231936e-07	4.548917e-06	1.148566e-05
1.11          	1.162520e-07	6.076321e-06	1.521850e-05
1.12          	1.205190e-07	4.494122e-06	1.164041e-05
1.13          	1.165177e-07	6.163197e-06	1.519842e-05
1.14          	1.161420e-07	4.617103e-05	1.296208e-04
1.15          	1.235205e-07	5.422246e-06	1.481757e-05
1.16          	1.197066e-07	4.232415e-05	1.300934e-04
1.17          	1.233800e-07	5.040121e-06	1.492230e-05
1.18          	1.203680e-07	3.935623e-05	1.332549e-04
1.19          	1.258731e-07	4.666632e-06	1.547890e-05
1.2           	1.188045e-07	3.880277e-05	1.355191e-04
1.21          	1.259256e-07	5.536706e-05	1.709270e-04
1.22          	1.161534e-07	4.467137e-05	1.392851e-04
1.23          	1.248450e-07	5.159847e-05	1.658752e-04
1.24          	1.155837e-07	4.614945e-05	1.374026e-04
1.25          	1.246647e-07	5.051226e-05	1.648702e-04
1.26          	1.152445e-07	4.618400e-05	1.337168e-04
1.27          	1.247730e-07	5.120675e-05	1.655499e-04
1.28          	1.161724e-07	4.591877e-05	1.319389e-04
1.29          	1.173969e-07	5.101935e-05	1.607396e-04
1.3           	7.245237e-07	5.681001e-07	1.013609e-06
1.31          	1.566031e-07	6.792134e-05	1.934670e-04
1.32          	6.862796e-07	5.446672e-07	7.799181e-07
1.33          	1.436952e-07	6.877025e-05	1.708435e-04
1.34          	6.837684e-07	5.843295e-07	8.692069e-07
1.35          	8.345923e-07	8.693091e-07	8.781806e-07
1.36          	8.235754e-07	6.369046e-07	4.253162e-07
1.37          	8.448051e-07	9.338764e-07	5.345826e-07
1.38          	7.926972e-07	7.506220e-07	4.406128e-07
1.39          	8.186581e-07	8.428617e-07	3.930484e-07
1.4           	7.808127e-07	8.288298e-07	4.969691e-07
1.41          	8.232021e-07	7.797996e-07	3.739528e-07
1.42          	7.765068e-07	8.337738e-07	5.118963e-07
1.43          	8.207700e-07	8.195340e-07	4.248611e-07
1.44          	7.772736e-07	8.114248e-07	4.950826e-07
1.45          	7.385575e-07	8.323096e-07	4.401363e-07
1.46          	7.571078e-07	7.787475e-07	5.143385e-07
1.47          	7.320582e-07	8.165822e-07	4.556920e-07
1.48          	1.378135e-07	6.737204e-05	1.539513e-04
1.49          	6.863594e-07	9.525863e-07	1.001116e-06
1.5           	1.121498e-07	4.785495e-06	1.508926e-05
1.51          	7.328040e-07	1.038554e-06	1.330505e-06
1.52          	1.352022e-07	4.781313e-06	1.853162e-05
1.53          	7.331529e-07	9.002429e-07	1.236818e-06
1.54          	1.300982e-07	4.594192e-06	1.636635e-05
1.55          	7.150954e-07	7.678105e-07	1.123435e-06
1.56          	1.238106e-07	4.675615e-06	1.455634e-05
1.57          	7.000707e-07	6.805333e-07	9.860150e-07
1.58          	1.192522e-07	4.890217e-06	1.398941e-05
1.59          	9.394865e-08	4.465844e-05	1.244489e-04
1.6           	8.705318e-08	3.100202e-06	1.008065e-05
1.61          	8.584224e-07	7.540278e-07	1.332668e-06
1.62          	1.428075e-07	4.455491e-06	1.747344e-05
1.63          	9.540385e-08	4.679324e-06	1.410260e-05
1.64          	9.000904e-08	3.120851e-06	1.084200e-05
1.65          	1.148327e-07	3.957962e-06	1.457050e-05
1.66          	1.038705e-07	3.346682e-06	1.227966e-05
1.67          	1.203931e-07	4.157326e-06	1.445958e-05
1.68          	1.055177e-07	3.308679e-06	1.153341e-05
1.69          	1.129759e-07	4.008348e-06	1.346616e-05
1.7           	1.028504e-07	3.176176e-06	1.081907e-05
1.71          	1.122675e-07	3.842398e-06	1.340774e-05
1.72          	1.037405e-07	3.088531e-06	1.076077e-05
1.73          	1.138969e-07	3.634590e-06	1.370004e-05
1.74          	1.041903e-07	2.973517e-06	1.083227e-05
1.75          	1.136688e-07	3.525988e-06	1.377136e-05
1.76          	1.035080e-07	2.839246e-06	1.087433e-05
1.77          	1.129658e-07	3.539696e-06	1.374664e-05
1.78          	1.040358e-07	2.797211e-06	1.107996e-05
1.79          	1.126887e-07	3.534961e-06	1.374595e-05
1.8           	1.025188e-07	2.751072e-06	1.102691e-05
1.81          	1.114807e-07	3.470993e-06	1.360516e-05
1.82          	1.005078e-07	2.680781e-06	1.088417e-05
1.83          	1.100983e-07	3.376287e-06	1.345811e-05
1.84          	9.911684e-08	2.637388e-06	1.073758e-05
1.85          	1.089649e-07	3.301646e-06	1.330491e-05
1.86          	9.762392e-08	2.641676e-06	1.059963e-05
1.87          	1.074143e-07	3.243166e-06	1.315027e-05
1.88          	9.605142e-08	2.617746e-06	1.046124e-05
1.89          	1.054816e-07	3.158825e-06	1.299320e-05
1.9           	9.419824e-08	2.559535e-06	1.035240e-05
1.91          	1.040023e-07	3.078402e-06	1.284009e-05
1.92          	9.259010e-08	2.466288e-06	1.024409e-05
1.93          	1.021630e-07	2.993757e-06	1.271558e-05
1.94          	9.097461e-08	2.377171e-06	1.016994e-05
1.95          	1.003012e-07	2.907212e-06	1.262545e-05
1.96          	8.925287e-08	2.302125e-06	1.011639e-05
1.97          	9.831737e-08	2.838083e-06	1.252506e-05
1.98          	8.749541e-08	2.247778e-06	1.005911e-05
1.99          	9.653365e-08	2.765970e-06	1.242114e-05
2             	8.574949e-08	2.187149e-06	9.964160e-06
2.01          	9.463981e-08	2.679373e-06	1.227615e-05
2.02          	8.392474e-08	2.124293e-06	9.827069e-06
2.03          	9.257032e-08	2.604960e-06	1.210387e-05
2.04          	8.206514e-08	2.084998e-06	9.680786e-06
2.05          	9.044408e-08	2.546660e-06	1.190496e-05
2.06          	8.009182e-08	2.051732e-06	9.528528e-06
2.07          	8.823466e-08	2.497897e-06	1.169763e-05
2.08          	7.810828e-08	2.014386e-06	9.352940e-06
2.09          	8.600743e-08	2.441403e-06	1.146777e-05
